grupo,valor,n,pct_dentro_del_grupo
0,Washed / Wet,443,62.6
0,Natural / Dry,133,18.8
0,Desconocido,76,10.7
0,Semi-washed / Semi-pulped,34,4.8
0,Other,14,2.0
0,Pulped natural / honey,8,1.1
1,Washed / Wet,209,70.8
1,Natural / Dry,45,15.3
1,Desconocido,21,7.1
1,Semi-washed / Semi-pulped,9,3.1
1,Other,8,2.7
1,Pulped natural / honey,3,1.0
2,Washed / Wet,160,52.1
2,Natural / Dry,73,23.8
2,Desconocido,54,17.6
2,Semi-washed / Semi-pulped,13,4.2
2,Other,4,1.3
2,Pulped natural / honey,3,1.0
