grupo,valor,n,pct_dentro_del_grupo
0,Green,480,67.8
0,Desconocido,122,17.2
0,Bluish-Green,60,8.5
0,Blue-Green,46,6.5
1,Green,208,70.5
1,Desconocido,59,20.0
1,Bluish-Green,17,5.8
1,Blue-Green,11,3.7
2,Green,161,52.4
2,Desconocido,86,28.0
2,Bluish-Green,35,11.4
2,Blue-Green,25,8.1
