Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
320,905.0,0.11,0,1,2.0,Brazil,Yellow Bourbon,Pulped natural / honey,Bluish-Green,arabica,1
275,1000.0,0.12,0,0,0.0,Nicaragua,Caturra,Natural / Dry,Bluish-Green,arabica,1
10,940.0,0.11,0,12,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,1
275,1850.0,0.09,0,4,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1
250,1200.0,0.11,0,3,0.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1
15,1650.0,0.11,0,5,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,0
100,1650.0,0.12,0,3,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
6,,0.0,0,1,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
54,1325.0,0.11,0,3,0.0,Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,Green,arabica,1
22,,0.05,12,1,0.0,United States (Hawaii),,,,arabica,1
250,1200.0,0.12,1,2,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
100,1850.0,0.1,6,3,1.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
275,,0.11,0,0,1.0,Nicaragua,,,Green,arabica,1
275,1775.0,0.12,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1300.0,0.12,0,3,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
275,1128.3696,0.11,0,0,1.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
28,1600.0,0.11,0,0,0.0,Mexico,Marigojipe,Natural / Dry,,arabica,1
149,,0.22,0,2,0.0,Colombia,,,,arabica,1
305,,0.11,0,14,4.0,Brazil,,Natural / Dry,Green,arabica,1
45,1350.0,0.1,0,1,0.0,Thailand,Catimor,Natural / Dry,Bluish-Green,arabica,1
1,,0.2,0,0,0.0,Thailand,,,,arabica,1
60,1300.0,0.13,0,0,0.0,Laos,Catimor,Washed / Wet,Bluish-Green,arabica,1
7,,0.1,2,5,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
1,1250.0,0.12,0,3,0.0,Uganda,,,Green,robusta,1
36,1770.0,0.11,0,1,0.0,Guatemala,Pacamara,Natural / Dry,Green,arabica,1
31,1200.0,0.13,0,1,0.0,Malawi,Gesha,Washed / Wet,Green,arabica,1
16,,0.12,0,8,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
300,1850.0,0.01,0,0,0.0,Ethiopia,,,,arabica,1
5,,0.12,1,5,0.0,United States (Hawaii),,Natural / Dry,Green,arabica,0
6,,0.12,0,0,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
1,3850.0,0.11,0,0,0.0,Colombia,,,Green,arabica,1
275,1700.0,0.12,0,7,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
200,1371.6,0.11,0,2,0.0,Guatemala,Catuai,Washed / Wet,Green,arabica,1
360,,0.2,0,2,0.0,Ethiopia,,,,arabica,1
100,1625.0,0.11,0,4,0.0,Colombia,Caturra,Washed / Wet,,arabica,1
320,1100.0,0.1,0,0,0.0,Brazil,Bourbon,Natural / Dry,,arabica,1
36,1700.0,0.09,0,2,0.0,Guatemala,Pacamara,Washed / Wet,Bluish-Green,arabica,1
250,1750.0,0.0,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,1300.0,0.1,0,3,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1
100,1650.0,0.13,5,16,0.0,Mexico,Typica,Washed / Wet,,arabica,1
20,1000.0,0.11,0,6,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,1
1,3800.0,0.0,0,2,0.0,Myanmar,Other,Washed / Wet,Green,arabica,1
1,,0.11,0,2,0.0,Brazil,,Washed / Wet,,arabica,0
250,1500.0,0.11,0,4,0.0,Mexico,Typica,Washed / Wet,,arabica,1
10,750.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
10,1170.0,0.13,0,3,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
1,1550.0,0.1,0,10,0.0,Guatemala,Bourbon,Washed / Wet,Bluish-Green,arabica,1
300,825.0,0.11,0,0,0.0,Haiti,Blue Mountain,Washed / Wet,Bluish-Green,arabica,1
10,750.0,0.0,0,0,0.0,Taiwan,Typica,Natural / Dry,Green,arabica,1
250,1310.64,0.11,0,3,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
100,1800.0,0.12,0,5,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
1,3845.0,0.0,0,4,0.0,Myanmar,Other,Washed / Wet,Green,arabica,1
2,,0.0,0,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,0
7,,0.0,1,4,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,,arabica,1
35,1250.0,0.14,0,0,0.0,Mexico,Typica,Semi-washed / Semi-pulped,,arabica,0
250,442.0,0.0,0,2,0.0,Colombia,Caturra,Natural / Dry,,arabica,1
6,,0.12,0,0,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
250,1310.64,0.12,2,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
50,1700.0,0.12,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
10,1500.0,0.14,0,0,0.0,Mexico,Typica,Washed / Wet,,arabica,0
1,1550.0,0.0,0,2,0.0,Vietnam,Catimor,Other,,arabica,1
100,,0.11,0,1,0.0,Brazil,,Natural / Dry,Bluish-Green,arabica,1
275,,0.0,1,5,2.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,165.0,0.12,0,0,0.0,Colombia,Typica,Washed / Wet,Green,arabica,1
240,185.0,0.11,0,4,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1
320,1.0,0.0,0,3,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
250,1400.0,0.11,1,12,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
1,1038.5,0.11,0,0,0.0,Brazil,Mundo Novo,Natural / Dry,Blue-Green,arabica,1
100,1200.0,0.13,0,27,0.0,Mexico,Typica,Washed / Wet,,arabica,0
2,1500.0,0.12,0,15,0.0,Indonesia,Sulawesi,Other,Blue-Green,arabica,1
20,1200.0,0.12,0,4,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1524.0,0.13,0,2,0.0,Guatemala,Pacas,Washed / Wet,Green,arabica,1
130,1550.0,0.0,0,0,2.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1
80,1050.0,0.02,0,2,0.0,Brazil,,,,arabica,1
100,,0.11,0,1,0.0,"Tanzania, United Republic Of",,Natural / Dry,Bluish-Green,arabica,1
250,,0.11,0,8,0.0,Guatemala,Bourbon,Washed / Wet,,arabica,0
100,1650.0,0.13,1,13,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
13,,0.1,1,1,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
320,1676.5,0.12,0,4,0.0,Ethiopia,,Natural / Dry,Green,arabica,1
250,1219.2,0.11,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
69,900.0,0.12,2,4,0.0,Mexico,Pacamara,Washed / Wet,,arabica,1
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Green,arabica,1
275,,0.0,1,1,0.0,Colombia,,Washed / Wet,,arabica,1
320,890.0,0.11,0,4,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
25,1219.2,0.1,0,1,2.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
250,,0.11,0,3,0.0,Guatemala,Bourbon,Natural / Dry,Green,arabica,1
250,1310.64,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,1859.28,0.12,1,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
280,1600.0,0.0,0,0,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,0
200,1500.0,0.11,0,5,1.0,Kenya,SL34,Washed / Wet,,arabica,0
50,1250.0,0.1,0,6,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
60,1186.0,0.13,0,12,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
20,680.0,0.12,0,0,0.0,Taiwan,Typica,Natural / Dry,Green,arabica,1
45,1500.0,0.11,0,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
26,1500.0,0.1,0,2,0.0,Guatemala,Caturra,Natural / Dry,Green,arabica,1
250,1300.0,0.11,0,2,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
15,1150.0,0.1,0,2,0.0,Costa Rica,Catuai,Washed / Wet,Blue-Green,arabica,1
10,600.0,0.14,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
320,1900.0,0.12,0,7,0.0,Ethiopia,Other,Natural / Dry,Green,arabica,1
250,,0.11,0,9,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
1,1650.0,0.12,0,0,0.0,Uganda,SL14,Natural / Dry,Green,arabica,1
2,914.4,0.11,1,26,0.0,Myanmar,Other,Natural / Dry,Green,arabica,1
250,2136.0,0.11,0,8,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
5,,0.0,0,1,0.0,United States (Hawaii),,,,arabica,1
85,1020.0,0.08,1,0,0.0,Haiti,,,,arabica,0
1,,0.0,0,0,0.0,Thailand,,,,arabica,1
50,1250.0,0.12,0,11,0.0,Mexico,Typica,Washed / Wet,,arabica,0
275,1300.0,0.12,2,8,0.0,Mexico,Bourbon,Washed / Wet,Bluish-Green,arabica,1
20,1750.0,0.08,0,1,0.0,Costa Rica,Other,Other,Green,arabica,1
70,1150.0,0.12,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
66,1754.0,0.11,0,5,0.0,Kenya,SL34,Washed / Wet,Blue-Green,arabica,1
320,1700.0,0.12,0,3,0.0,Uganda,SL14,Natural / Dry,Green,arabica,1
50,1700.0,0.11,1,2,1.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
150,1350.0,0.0,0,2,0.0,El Salvador,Bourbon,Washed / Wet,Blue-Green,arabica,1
250,1310.64,0.11,0,3,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,1750.0,0.0,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
320,890.0,0.11,0,5,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
24,1556.0,0.13,0,0,0.0,Malawi,Gesha,Washed / Wet,Green,arabica,1
320,,0.09,0,7,4.0,Ethiopia,Caturra,Natural / Dry,,arabica,1
10,150.0,0.11,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,Green,arabica,1
12,,0.11,0,1,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
250,1550.0,0.0,0,3,0.0,Colombia,Other,Washed / Wet,Green,arabica,1
300,1200.0,0.0,0,6,0.0,Kenya,SL34,Washed / Wet,Green,arabica,1
80,800.0,0.0,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
320,3140.0,0.1,0,0,0.0,India,,Washed / Wet,Bluish-Green,robusta,1
1,,0.09,0,2,0.0,Honduras,,Washed / Wet,,arabica,1
1,800.0,0.11,0,0,0.0,Thailand,,Washed / Wet,Green,arabica,1
12,1000.0,0.13,0,10,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,0
10,,0.1,0,2,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
70,1000.0,0.12,0,4,0.0,Mexico,Typica,Washed / Wet,,arabica,1
53,1300.0,0.1,1,9,0.0,Thailand,Caturra,Washed / Wet,Green,arabica,1
235,2000.0,0.11,0,0,0.0,Kenya,SL28,Washed / Wet,Bluish-Green,arabica,1
250,1310.64,0.11,1,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1775.0,0.11,1,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
304,,0.0,0,1,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
320,,0.11,0,0,0.0,Mexico,,Washed / Wet,Green,arabica,1
320,934.0,0.11,0,3,2.0,Brazil,Bourbon,Natural / Dry,Bluish-Green,arabica,1
50,1700.0,0.1,0,2,1.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
175,1775.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,1200.0,0.12,0,10,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1
1,1367.0,0.11,0,7,0.0,Uganda,,,Green,robusta,1
320,894.0,0.11,0,5,3.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
25,157.8864,0.12,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
15,3500.0,0.12,4,26,0.0,Indonesia,Other,Natural / Dry,,arabica,0
150,1600.0,0.11,0,3,0.0,Kenya,SL28,Washed / Wet,Green,arabica,1
3,1100.0,0.1,0,0,0.0,China,Catimor,Natural / Dry,Green,arabica,1
250,1200.0,0.15,0,3,0.0,El Salvador,,,,arabica,1
56,1350.0,0.12,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
37,,0.03,2,0,0.0,United States (Hawaii),,,,arabica,1
250,1750.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
35,1300.0,0.13,0,7,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
20,50.0,0.0,0,0,0.0,Taiwan,Other,Natural / Dry,Blue-Green,arabica,1
54,1456.0,0.13,0,2,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
1,1600.0,0.12,0,1,0.0,Uganda,,,Green,robusta,1
275,1500.0,0.12,0,0,0.0,El Salvador,Bourbon,Washed / Wet,Green,arabica,1
275,1600.0,0.12,0,1,0.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
150,13.0,0.11,0,2,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
1,1100.0,0.0,0,2,0.0,China,Other,Washed / Wet,Green,arabica,1
275,,0.08,1,13,2.0,Costa Rica,,Washed / Wet,,arabica,1
320,905.0,0.11,0,2,2.0,Brazil,Yellow Bourbon,Pulped natural / honey,Bluish-Green,arabica,1
250,1550.0,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,0
250,1750.0,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1200.0,0.0,1,3,0.0,El Salvador,,,,arabica,1
8,700.0,0.0,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
1,1650.0,0.1,0,0,0.0,Uganda,Other,Washed / Wet,Blue-Green,arabica,1
19,,0.0,1,1,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
600,442.0,0.11,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1750.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,,arabica,1
50,1700.0,0.1,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
1,4001.0,0.0,0,2,0.0,Myanmar,Catuai,Washed / Wet,Green,arabica,1
250,442.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
250,1400.0,0.1,0,0,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
15,1248.0,0.1,0,4,0.0,Mexico,Typica,Natural / Dry,Green,arabica,1
250,1200.0,0.12,2,4,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,0
100,1450.0,0.0,0,6,2.0,El Salvador,Bourbon,Washed / Wet,Green,arabica,1
320,,0.06,1,9,0.0,Kenya,,,,arabica,1
320,890.0,0.11,0,2,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
1,,0.1,0,0,0.0,Colombia,Typica,Washed / Wet,Green,arabica,1
300,1480.0,0.11,1,10,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
275,1116.7872,0.11,0,6,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
300,,0.05,0,2,0.0,Ethiopia,,,,arabica,1
8,1100.0,0.12,0,3,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
1,1040.0,0.0,0,17,0.0,Vietnam,Other,Natural / Dry,,arabica,1
250,1530.0,0.12,0,4,0.0,Colombia,Other,Washed / Wet,Green,arabica,1
275,1050.0,0.1,1,3,0.0,Nicaragua,Caturra,Washed / Wet,Green,arabica,1
5,,0.12,0,3,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Bluish-Green,arabica,1
1,1850.0,0.0,0,5,0.0,China,Typica,Washed / Wet,Green,arabica,0
220,1260.0,0.0,0,0,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
127,1100.0,0.12,0,5,0.0,Mexico,Typica,Washed / Wet,Bluish-Green,arabica,0
275,1200.0,0.11,0,4,0.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1
20,1250.0,0.12,0,30,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
14,,0.11,1,9,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,1
300,1400.0,0.11,0,5,0.0,"Tanzania, United Republic Of",Arusha,Washed / Wet,Green,arabica,1
7,1250.0,0.11,0,2,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Blue-Green,arabica,1
27,,0.01,0,10,0.0,United States (Hawaii),Peaberry,,,arabica,1
275,,0.08,0,2,0.0,Nicaragua,,,,arabica,1
275,1850.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1550.0,0.0,0,1,0.0,Colombia,Caturra,Natural / Dry,,arabica,1
275,1300.0,0.11,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
10,1000.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
250,1750.0,0.0,0,1,0.0,Colombia,Caturra,Washed / Wet,Bluish-Green,arabica,1
300,1000.0,0.0,0,0,0.0,India,,,Green,robusta,1
200,1100.0,0.12,0,0,0.0,Mexico,Other,Washed / Wet,Green,arabica,1
320,,0.0,0,4,0.0,Mexico,,Washed / Wet,Green,arabica,1
250,1550.0,0.13,0,5,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,0
6,,0.0,0,3,0.0,United States (Hawaii),,Natural / Dry,Bluish-Green,arabica,0
50,1822.5,0.1,0,4,0.0,Ethiopia,Other,Natural / Dry,Green,arabica,1
7,,0.11,1,1,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
10,1300.0,0.11,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
28,1650.0,0.11,0,2,0.0,Mexico,Typica,Natural / Dry,,arabica,1
250,1310.64,0.12,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
10,,0.1,6,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Blue-Green,arabica,1
250,1800.0,0.06,0,2,0.0,Colombia,,,,arabica,1
100,1250.0,0.13,0,23,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,1
275,,0.11,0,0,0.0,Costa Rica,,Washed / Wet,,arabica,1
250,1880.0,0.13,0,1,0.0,Colombia,,,,arabica,1
250,1300.0,0.11,0,1,0.0,Guatemala,Caturra,Washed / Wet,Bluish-Green,arabica,1
18,1450.0,0.15,0,1,0.0,Mexico,Typica,Washed / Wet,,arabica,1
10,110.0,0.12,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
17,1000.0,0.12,0,1,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
10,1089.0,0.14,0,10,0.0,Mexico,Pacamara,Washed / Wet,,arabica,1
50,1700.0,0.1,0,3,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
300,,0.11,0,13,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
2,,0.12,4,13,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,1
300,1450.0,0.08,0,1,0.0,Colombia,,,,arabica,1
20,1300.0,0.0,0,0,0.0,Laos,Catimor,Washed / Wet,Green,arabica,1
3,,0.0,0,0,0.0,Thailand,Peaberry,,,arabica,1
250,1300.0,0.11,0,4,0.0,Mexico,Pacas,Natural / Dry,,arabica,1
12,1450.0,0.14,0,0,0.0,Mexico,Bourbon,Washed / Wet,,arabica,0
300,1.0,0.0,0,0,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
250,1600.0,0.12,0,5,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
275,1400.0,0.12,0,1,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
1,1300.0,0.09,0,3,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1550.0,0.1,0,6,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,1800.0,0.04,0,1,0.0,Colombia,,,,arabica,1
305,1000.0,0.0,0,0,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
250,1750.0,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1000.0,0.12,0,2,0.0,Mexico,Typica,Washed / Wet,,arabica,1
15,1650.0,0.11,0,5,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
8,,0.1,0,0,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
58,925.0,0.02,0,2,0.0,Brazil,Mundo Novo,,,arabica,1
200,1750.0,0.11,0,1,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
10,441.0,0.15,1,8,0.0,Mexico,Typica,Natural / Dry,,arabica,1
180,1775.0,0.12,0,4,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,1450.0,0.1,0,5,0.0,Honduras,Catuai,Natural / Dry,Green,arabica,1
28,1650.0,0.11,0,2,0.0,Mexico,Typica,Semi-washed / Semi-pulped,,arabica,1
325,1645.0,0.12,0,8,5.0,Uganda,Bourbon,Natural / Dry,Green,arabica,1
275,1500.0,0.11,0,0,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
39,1000.0,0.12,0,1,0.0,Brazil,Catuai,Semi-washed / Semi-pulped,Blue-Green,arabica,1
100,1200.0,0.11,0,20,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,0
100,1775.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
15,1900.0,0.0,1,4,0.0,Costa Rica,Catuai,Pulped natural / honey,Green,arabica,1
250,1450.0,0.15,0,0,0.0,Colombia,,,,arabica,1
320,1100.0,0.0,0,0,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
250,1219.2,0.1,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
300,900.0,0.12,2,6,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
275,1219.2,0.1,1,4,0.0,Guatemala,Other,Washed / Wet,Green,arabica,0
53,1450.0,0.14,0,34,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
60,1200.0,0.11,0,0,0.0,Taiwan,Typica,Other,Green,arabica,1
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Bluish-Green,arabica,1
43,1600.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
1,1700.0,0.17,0,14,0.0,China,Other,Washed / Wet,Green,arabica,1
2,1400.0,0.1,1,1,0.0,Mexico,Other,Washed / Wet,,arabica,1
20,1100.0,0.13,0,1,0.0,Mexico,Typica,Washed / Wet,,arabica,1
175,1775.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
25,442.0,0.11,0,4,0.0,Colombia,,,Green,arabica,1
320,1550.0,0.12,0,2,0.0,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Bluish-Green,arabica,1
275,1400.0,0.1,0,3,0.0,Honduras,Caturra,,Green,arabica,1
10,1620.0,0.12,0,7,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
150,1700.0,0.09,0,2,0.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
1,1200.0,0.12,1,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,,0.0,0,1,0.0,Colombia,,Washed / Wet,Green,arabica,0
15,1550.0,0.14,1,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1310.64,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
250,1100.0,0.11,0,3,0.0,Mexico,Catuai,Washed / Wet,Green,arabica,0
250,1300.0,0.11,0,3,0.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1
3,1580.0,0.12,0,2,6.0,China,Catimor,Pulped natural / honey,Green,arabica,1
250,1310.64,0.11,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,175.0,0.12,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
200,1100.0,0.12,1,17,5.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,1
5,600.0,0.11,0,0,0.0,Taiwan,Typica,Other,Green,arabica,1
250,1813.0,0.12,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,532.0,0.12,3,8,0.0,Mexico,Typica,Washed / Wet,,arabica,1
250,750.0,0.0,0,0,0.0,India,,Natural / Dry,Green,robusta,1
10,200.0,0.11,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,Green,arabica,1
275,1650.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
2,200.0,0.13,1,2,0.0,Cote d?Ivoire,,Washed / Wet,Bluish-Green,arabica,0
275,1450.0,0.11,0,2,2.0,Guatemala,Pacas,Washed / Wet,Green,arabica,1
32,1550.0,0.12,0,6,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1450.0,0.11,0,1,0.0,Guatemala,Caturra,Natural / Dry,Green,arabica,1
2,,0.12,0,0,0.0,Indonesia,Mandheling,Natural / Dry,Bluish-Green,arabica,1
320,1100.0,0.11,0,0,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
12,1422.0,0.12,0,0,0.0,Malawi,Gesha,Washed / Wet,Bluish-Green,arabica,1
74,1300.0,0.11,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1300.0,0.0,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1
250,1524.0,0.12,0,3,0.0,Guatemala,Pacas,Washed / Wet,Green,arabica,1
3,1700.0,0.1,0,0,0.0,China,Catimor,Natural / Dry,Green,arabica,1
100,775.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Bluish-Green,arabica,0
275,1775.0,0.11,2,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,1200.0,0.0,0,7,0.0,El Salvador,Pacas,Washed / Wet,Green,arabica,1
250,1880.0,0.08,1,3,0.0,Colombia,,,,arabica,1
50,1248.0,0.11,0,3,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
10,1550.0,0.14,0,8,0.0,Mexico,Typica,Washed / Wet,,arabica,0
1,795.0,0.0,0,6,0.0,United States,,Natural / Dry,,robusta,0
280,1400.0,0.0,0,4,0.0,Peru,Typica,Washed / Wet,,arabica,0
275,1187.5,0.11,0,2,0.0,Nicaragua,Caturra,Washed / Wet,,arabica,1
