Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points
3.485375941633611,3.8218807671507173,3.621773517664036,3.787289635744015,3.3326909677462404,2.5682454595875135,2.919170811456369
3.7387611163991084,3.3537248865850082,3.1356894818036953,3.2556907967999957,3.0596690539681135,2.5682454595875135,2.5210207993842637
2.6935472704914325,2.856309263483943,2.9069440531635347,2.755362477793859,2.752519400967722,2.5682454595875135,4.0902002587272674
1.901718599349254,3.090387203766798,2.9069440531635347,2.755362477793859,3.3326909677462404,2.0813773907642408,2.731806099893025
2.1551037741147514,2.856309263483943,2.420860017303194,3.0055266372969274,3.0596690539681135,2.31049177609284,2.5210207993842637
3.2003176200224273,2.6222313232010888,2.9069440531635347,3.0055266372969274,2.4794974871895956,2.31049177609284,1.935506075748815
2.6935472704914325,2.856309263483943,2.6496054459433545,3.0055266372969274,2.4794974871895956,2.0813773907642408,2.33365608782092
2.1551037741147514,2.358893640382878,3.1356894818036953,2.755362477793859,2.752519400967722,2.797359844916113,3.5046855350918182
3.485375941633611,3.3537248865850082,3.364434910443856,2.755362477793859,2.752519400967722,2.5682454595875135,2.731806099893025
1.6166602777380703,3.090387203766798,3.1356894818036953,3.0055266372969274,0.5000886122981792,2.5682454595875135,2.33365608782092
1.901718599349254,3.3537248865850082,2.420860017303194,3.0055266372969274,0.7731105260763058,1.8522630054356417,2.5210207993842637
2.1551037741147514,2.6222313232010888,2.192114588663033,2.4739277983529075,1.8993259204110773,1.8522630054356417,2.33365608782092
1.6166602777380703,3.3537248865850082,2.6496054459433545,2.755362477793859,1.6263040066329506,1.594509321940968,1.935506075748815
2.408488948880249,2.6222313232010888,1.934775981442853,2.223763638849839,2.4794974871895956,1.3653949366123688,2.5210207993842637
2.1551037741147514,2.358893640382878,3.1356894818036953,2.223763638849839,3.605712881524367,3.513342299067985,2.33365608782092
1.363275102972573,2.856309263483943,3.364434910443856,1.973599479346771,2.2064755734114687,1.3653949366123688,1.5607766526221272
2.408488948880249,2.1248157001000236,1.2199465169423513,0.6602376419556635,3.3326909677462404,2.5682454595875135,1.935506075748815
1.901718599349254,2.358893640382878,2.420860017303194,2.4739277983529075,3.0596690539681135,2.31049177609284,3.106535523019713
2.6935472704914325,2.1248157001000236,1.934775981442853,1.973599479346771,1.3532820928548241,1.3653949366123688,2.1462913762575764
1.901718599349254,1.890737759817169,1.7060305528026922,1.973599479346771,1.8993259204110773,2.31049177609284,1.935506075748815
1.363275102972573,2.1248157001000236,1.934775981442853,3.0055266372969274,2.4794974871895956,1.3653949366123688,1.5607766526221272
1.6166602777380703,2.1248157001000236,1.7060305528026922,1.973599479346771,1.6263040066329506,2.31049177609284,1.935506075748815
1.901718599349254,2.1248157001000236,2.192114588663033,1.4420006404027514,1.0461324398544325,1.8522630054356417,2.5210207993842637
2.1551037741147514,2.358893640382878,2.192114588663033,1.973599479346771,1.0461324398544325,1.8522630054356417,1.5607766526221272
2.6935472704914325,1.890737759817169,1.4772851241625315,1.973599479346771,2.752519400967722,1.3653949366123688,1.3499913521133657
2.94693244525693,2.856309263483943,1.7060305528026922,1.4420006404027514,1.6263040066329506,1.3653949366123688,0.9752619289866782
0.8248316065958918,2.1248157001000236,1.934775981442853,1.973599479346771,2.2064755734114687,1.8522630054356417,1.748141364185471
2.6935472704914325,1.890737759817169,2.192114588663033,1.973599479346771,1.0461324398544325,1.1362805512837695,1.5607766526221272
1.901718599349254,1.6274000769989585,1.934775981442853,1.4420006404027514,1.8993259204110773,1.3653949366123688,1.748141364185471
1.363275102972573,1.393322136716104,1.7060305528026922,2.223763638849839,1.6263040066329506,1.8522630054356417,1.5607766526221272
1.1098899282070755,2.1248157001000236,1.7060305528026922,2.4739277983529075,1.6263040066329506,1.594509321940968,1.162626640550022
2.6935472704914325,1.890737759817169,2.192114588663033,1.4420006404027514,0.19293895929778762,1.3653949366123688,1.5607766526221272
2.94693244525693,1.890737759817169,1.7060305528026922,0.6602376419556635,1.6263040066329506,1.3653949366123688,1.162626640550022
1.901718599349254,0.8959065136150388,1.7060305528026922,1.6921647999058198,1.0461324398544325,1.3653949366123688,2.1462913762575764
1.363275102972573,1.6274000769989585,1.4772851241625315,1.4420006404027514,1.8993259204110773,1.594509321940968,1.3499913521133657
1.6166602777380703,1.393322136716104,1.7060305528026922,2.223763638849839,1.3532820928548241,1.1362805512837695,1.3499913521133657
1.6166602777380703,1.890737759817169,1.7060305528026922,1.191836480899683,1.3532820928548241,0.878526867789096,1.935506075748815
2.1551037741147514,2.6222313232010888,1.934775981442853,0.6602376419556635,0.5000886122981792,0.878526867789096,1.748141364185471
1.1098899282070755,0.6618285733321844,1.934775981442853,1.6921647999058198,1.8993259204110773,1.8522630054356417,1.5607766526221272
0.31806125706489713,1.890737759817169,1.7060305528026922,1.4420006404027514,2.2064755734114687,1.594509321940968,1.3499913521133657
0.8248316065958918,2.358893640382878,1.2199465169423513,2.223763638849839,0.19293895929778762,1.1362805512837695,2.1462913762575764
1.901718599349254,1.1592441964332494,1.4772851241625315,0.6602376419556635,2.752519400967722,1.3653949366123688,1.3499913521133657
2.6935472704914325,1.1592441964332494,1.7060305528026922,0.6602376419556635,1.3532820928548241,1.3653949366123688,1.5607766526221272
1.6166602777380703,1.890737759817169,0.9912010883021907,1.6921647999058198,0.7731105260763058,0.878526867789096,2.1462913762575764
1.6166602777380703,1.6274000769989585,1.7060305528026922,1.4420006404027514,1.0461324398544325,1.594509321940968,1.162626640550022
2.408488948880249,1.393322136716104,1.7060305528026922,1.4420006404027514,0.7731105260763058,1.3653949366123688,1.162626640550022
1.6166602777380703,1.6274000769989585,1.2199465169423513,1.191836480899683,1.8993259204110773,1.1362805512837695,1.3499913521133657
0.5714464318303945,1.1592441964332494,1.2199465169423513,1.6921647999058198,1.8993259204110773,1.8522630054356417,1.5607766526221272
1.1098899282070755,1.890737759817169,1.2199465169423513,3.0055266372969274,-0.08008295448033896,1.1362805512837695,1.5607766526221272
2.1551037741147514,1.393322136716104,1.2199465169423513,1.6921647999058198,1.6263040066329506,1.1362805512837695,0.9752619289866782
0.5714464318303945,1.6274000769989585,1.7060305528026922,2.223763638849839,1.6263040066329506,1.3653949366123688,0.9752619289866782
2.408488948880249,1.890737759817169,0.9912010883021907,1.4420006404027514,0.7731105260763058,0.878526867789096,1.5607766526221272
1.1098899282070755,1.6274000769989585,1.4772851241625315,1.6921647999058198,1.8993259204110773,0.878526867789096,1.162626640550022
1.901718599349254,1.890737759817169,1.4772851241625315,1.6921647999058198,1.0461324398544325,0.6494124824604968,1.162626640550022
1.363275102972573,1.393322136716104,1.7060305528026922,1.973599479346771,1.0461324398544325,1.3653949366123688,0.9752619289866782
1.363275102972573,1.393322136716104,1.4772851241625315,1.6921647999058198,1.0461324398544325,1.3653949366123688,1.162626640550022
0.8248316065958918,1.6274000769989585,1.4772851241625315,1.6921647999058198,1.6263040066329506,1.1362805512837695,1.162626640550022
0.8248316065958918,1.393322136716104,1.7060305528026922,1.973599479346771,1.0461324398544325,1.3653949366123688,1.162626640550022
1.363275102972573,1.393322136716104,1.2199465169423513,2.4739277983529075,1.0461324398544325,0.878526867789096,1.162626640550022
0.8248316065958918,1.393322136716104,1.2199465169423513,1.973599479346771,1.3532820928548241,1.3653949366123688,1.162626640550022
1.363275102972573,1.393322136716104,1.7060305528026922,1.6921647999058198,1.3532820928548241,0.6494124824604968,1.162626640550022
2.408488948880249,2.6222313232010888,1.2199465169423513,2.4739277983529075,1.6263040066329506,2.0813773907642408,0.9752619289866782
1.1098899282070755,1.890737759817169,1.7060305528026922,1.191836480899683,0.7731105260763058,0.878526867789096,1.162626640550022
0.8248316065958918,1.393322136716104,1.7060305528026922,0.6602376419556635,1.3532820928548241,1.8522630054356417,0.9752619289866782
